model,task,weight_ED,alpha_std_batch,alpha_std_all,beta_batch,test_MAE
SchNet,gap,1.0,0,0,0.5,0.050654
SchNet,lumo,1.0,0,0,0.5,0.026283
SchNet,u0,1.0,0,0,0.5,0.013929
SchNet,mu,1.0,0,0,0.5,0.030155
SchNet,zpve,1.0,0,0,0.5,0.001697
SchNet,alpha,1.0,0,0,0.5,0.06978
SchNet,h298,1.0,0,0,0.5,0.014405
SchNet,homo,1.0,0,0,0.5,0.032068
SchNet,r2,1.0,0,0,0.5,0.13414
SchNet,u298,1.0,0,0,0.5,0.014218
SchNet,g298,1.0,0,0,0.5,0.014222
SchNet,cv,1.0,0,1.5,0.5,0.031652
SchNet,gap,1.0,0,1.5,0.5,0.050533
SchNet,lumo,1.0,0,1.5,0.5,0.026124
SchNet,u0,1.0,0,1.5,0.5,0.013732
SchNet,mu,1.0,0,1.5,0.5,0.029893
SchNet,zpve,1.0,0,1.5,0.5,0.001706
SchNet,alpha,1.0,0,1.5,0.5,0.069813
SchNet,h298,1.0,0,1.5,0.5,0.014271
SchNet,homo,1.0,0,1.5,0.5,0.032075
SchNet,r2,1.0,0,1.5,0.5,0.13584
SchNet,u298,1.0,0,1.5,0.5,0.014185
SchNet,g298,1.0,0,1.5,0.5,0.013964
SchNet,cv,1.0,0,1.5,1,0.03147
SchNet,gap,1.0,0,1.5,1,0.050648
SchNet,lumo,1.0,0,1.5,1,0.026088
SchNet,u0,1.0,0,1.5,1,0.013689
SchNet,mu,1.0,0,1.5,1,0.030525
SchNet,zpve,1.0,0,1.5,1,0.001674
SchNet,alpha,1.0,0,1.5,1,0.069146
SchNet,h298,1.0,0,1.5,1,0.014243
SchNet,homo,1.0,0,1.5,1,0.032031
SchNet,r2,1.0,0,1.5,1,0.13609
SchNet,u298,1.0,0,1.5,1,0.014436
SchNet,g298,1.0,0,1.5,1,0.014319
SchNet,cv,0.01,0,0,1,0.031558
SchNet,gap,0.01,0,0,1,0.051076
SchNet,lumo,0.01,0,0,1,0.026032
SchNet,u0,0.01,0,0,1,0.013962
SchNet,mu,0.01,0,0,1,0.030418
SchNet,zpve,0.01,0,0,1,0.001712
SchNet,alpha,0.01,0,0,1,0.068757
SchNet,h298,0.01,0,0,1,0.014286
SchNet,homo,0.01,0,0,1,0.032015
SchNet,r2,0.01,0,0,1,0.133521
SchNet,u298,0.01,0,0,1,0.014093
SchNet,g298,0.01,0,0,1,0.013729
SchNet,cv,0.01,1.5,1.5,0.5,0.03195
SchNet,gap,0.01,1.5,1.5,0.5,0.050602
SchNet,lumo,0.01,1.5,1.5,0.5,0.025852
SchNet,u0,0.01,1.5,1.5,0.5,0.013558
SchNet,mu,0.01,1.5,1.5,0.5,0.030461
SchNet,zpve,0.01,1.5,1.5,0.5,0.00171
SchNet,alpha,0.01,1.5,1.5,0.5,0.07037
SchNet,h298,0.01,1.5,1.5,0.5,0.014328
SchNet,homo,0.01,1.5,1.5,0.5,0.031907
SchNet,r2,0.01,1.5,1.5,0.5,0.128283
SchNet,u298,0.01,1.5,1.5,0.5,0.014525
SchNet,g298,0.01,1.5,1.5,0.5,0.014298
SchNet,cv,0.5,-1.5,0,0.5,0.032151
SchNet,gap,0.5,-1.5,0,0.5,0.050716
SchNet,lumo,0.5,-1.5,0,0.5,0.026472
SchNet,u0,0.5,-1.5,0,0.5,0.014266
SchNet,mu,0.5,-1.5,0,0.5,0.031154
SchNet,zpve,0.5,-1.5,0,0.5,0.001702
SchNet,alpha,0.5,-1.5,0,0.5,0.069472
SchNet,h298,0.5,-1.5,0,0.5,0.013888
SchNet,homo,0.5,-1.5,0,0.5,0.032293
SchNet,r2,0.5,-1.5,0,0.5,0.133194
SchNet,u298,0.5,-1.5,0,0.5,0.014042
SchNet,g298,0.5,-1.5,0,0.5,0.013988
SchNet,cv,0.5,0,1.5,0,0.032045
SchNet,gap,0.5,0,1.5,0,0.049967
SchNet,lumo,0.5,0,1.5,0,0.025831
SchNet,u0,0.5,0,1.5,0,0.013832
SchNet,mu,0.5,0,1.5,0,0.030653
SchNet,zpve,0.5,0,1.5,0,0.001721
SchNet,alpha,0.5,0,1.5,0,0.070539
SchNet,h298,0.5,0,1.5,0,0.013924
SchNet,homo,0.5,0,1.5,0,0.032084
SchNet,r2,0.5,0,1.5,0,0.130942
SchNet,u298,0.5,0,1.5,0,0.014296
SchNet,g298,0.5,0,1.5,0,0.014258
SchNet,cv,0.5,0,-1.5,0,0.031831
SchNet,gap,0.5,0,-1.5,0,0.049547
SchNet,lumo,0.5,0,-1.5,0,0.026167
SchNet,u0,0.5,0,-1.5,0,0.014055
SchNet,mu,0.5,0,-1.5,0,0.030868
SchNet,zpve,0.5,0,-1.5,0,0.001702
SchNet,alpha,0.5,0,-1.5,0,0.069146
SchNet,h298,0.5,0,-1.5,0,0.014312
SchNet,homo,0.5,0,-1.5,0,0.031955
SchNet,r2,0.5,0,-1.5,0,0.134265
SchNet,u298,0.5,0,-1.5,0,0.013869
SchNet,g298,0.5,0,-1.5,0,0.01398
SchNet,cv,0.01,0,1.5,1,0.031525
SchNet,gap,0.01,0,1.5,1,0.050377
SchNet,lumo,0.01,0,1.5,1,0.026175
SchNet,u0,0.01,0,1.5,1,0.013416
SchNet,mu,0.01,0,1.5,1,0.030931
SchNet,zpve,0.01,0,1.5,1,0.00171
SchNet,alpha,0.01,0,1.5,1,0.070718
SchNet,h298,0.01,0,1.5,1,0.014134
SchNet,homo,0.01,0,1.5,1,0.032299
SchNet,r2,0.01,0,1.5,1,0.136234
